CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201142,72,70,Less Than 6 Ft,0.283,137,235,0.583,0.601,-0.018
201142,72,71,Less Than 10 Ft,0.369,162,307,0.528,0.55,-0.022
201142,72,72,Greater Than 15 Ft,0.556,134,462,0.29,0.364,-0.074
202362,67,67,Overall,1.0,156,351,0.444,0.435,0.01
202362,67,59,3 Pointers,0.476,54,167,0.323,0.353,-0.03
202362,67,64,2 Pointers,0.524,102,184,0.554,0.474,0.08
202362,67,44,Less Than 6 Ft,0.177,46,62,0.742,0.592,0.15
202362,67,50,Less Than 10 Ft,0.265,62,93,0.667,0.537,0.129
202362,67,65,Greater Than 15 Ft,0.667,82,234,0.35,0.363,-0.013
101108,74,74,Overall,1.0,333,714,0.466,0.444,0.023
101108,74,72,3 Pointers,0.345,89,246,0.362,0.357,0.005
101108,74,74,2 Pointers,0.655,244,468,0.521,0.48,0.041
101108,74,63,Less Than 6 Ft,0.218,108,156,0.692,0.592,0.1
101108,74,67,Less Than 10 Ft,0.304,135,217,0.622,0.537,0.085
101108,74,74,Greater Than 15 Ft,0.584,163,417,0.391,0.372,0.019
200755,74,74,Overall,1.0,248,643,0.386,0.439,-0.054
200755,74,69,3 Pointers,0.327,59,210,0.281,0.355,-0.075
200755,74,73,2 Pointers,0.673,189,433,0.436,0.481,-0.045
200755,74,53,Less Than 6 Ft,0.193,85,124,0.685,0.597,0.089
200755,74,66,Less Than 10 Ft,0.294,103,189,0.545,0.542,0.003
200755,74,73,Greater Than 15 Ft,0.597,121,384,0.315,0.371,-0.056
2746,55,55,Overall,1.0,178,413,0.431,0.466,-0.035
2746,55,38,3 Pointers,0.208,35,86,0.407,0.36,0.047
2746,55,55,2 Pointers,0.792,143,327,0.437,0.5,-0.062
2746,55,49,Less Than 6 Ft,0.392,87,162,0.537,0.605,-0.067
2746,55,53,Less Than 10 Ft,0.523,108,216,0.5,0.556,-0.056
2746,55,50,Greater Than 15 Ft,0.407,61,168,0.363,0.373,-0.01
201599,77,77,Overall,1.0,486,1140,0.426,0.47,-0.044
201599,77,60,3 Pointers,0.132,49,150,0.327,0.354,-0.028
201599,77,77,2 Pointers,0.868,437,990,0.441,0.497,-0.056
201599,77,77,Less Than 6 Ft,0.423,250,482,0.519,0.592,-0.073
201599,77,77,Less Than 10 Ft,0.572,315,652,0.483,0.545,-0.061
201599,77,75,Greater Than 15 Ft,0.34,139,388,0.358,0.382,-0.024
203143,57,57,Overall,1.0,129,261,0.494,0.427,0.067
203143,57,40,3 Pointers,0.333,34,87,0.391,0.341,0.05
203143,57,53,2 Pointers,0.667,95,174,0.546,0.47,0.076
203143,57,35,Less Than 6 Ft,0.241,50,63,0.794,0.59,0.204
203143,57,39,Less Than 10 Ft,0.322,59,84,0.702,0.536,0.166
203143,57,53,Greater Than 15 Ft,0.559,56,146,0.384,0.356,0.028
2037,79,79,Overall,1.0,207,478,0.433,0.441,-0.008
2037,79,65,3 Pointers,0.402,67,192,0.349,0.342,0.007
2037,79,77,2 Pointers,0.598,140,286,0.49,0.487,0.002
2037,79,53,Less Than 6 Ft,0.215,69,103,0.67,0.594,0.076
